2000,5bbBaaECaBf2626,Benitez-Kelley,http://castro.com/,Kuwait,Polarized global open system,2003,Machinery,6331
2001,2ca507CeE69E17D,Anthony Ltd,https://guzman.org/,Armenia,Configurable tertiary access,2005,Package / Freight Delivery,5949
2002,409a8BbFE5d0B97,Flynn PLC,http://tate-douglas.info/,Cayman Islands,Profound disintermediate budgetary management,1992,Information Technology / IT,6306
2003,DDdBee6ce40EDEa,Dixon-Mack,https://www.boyd-payne.com/,Malawi,Secured cohesive superstructure,1989,Philanthropy,3728
2004,10DBB268967d615,"Deleon, Ritter and Barker",http://www.dougherty.biz/,China,Assimilated object-oriented analyzer,1978,Utilities,1174
2005,e9ccBe01C6fBfF3,"Holland, Henderson and Sawyer",https://meza-james.com/,Italy,Optimized hybrid synergy,1999,Mental Health Care,5453
2006,A03cEb5EC0faeed,Beard-Vincent,http://www.mccarty.com/,South Africa,Open-source logistical benchmark,1988,Venture Capital / VC,1343
2007,D4dEDDF439adeDA,"Hopkins, Vang and Delacruz",http://www.mathis.com/,Greece,Pre-emptive multi-tasking system engine,2014,Food Production,7742
2008,d1d42Afe65d433D,Vargas PLC,https://www.levine-hooper.net/,United States Minor Outlying Islands,Monitored even-keeled flexibility,1988,Mental Health Care,2734
2009,Dd3bb5ee0a0BE7b,"Bolton, Mccullough and Conley",https://lloyd-cobb.com/,Nicaragua,Profit-focused analyzing info-mediaries,1993,Broadcast Media,7531
2010,B3bdfBdad13189B,Kaiser-Melendez,https://www.ball.com/,Netherlands,Cross-group mission-critical encoding,2000,Public Safety,7347
2011,b4802A03926F0ce,Mcdowell PLC,https://www.olsen-mullen.biz/,Algeria,Re-engineered hybrid secured line,1990,Consumer Goods,6327
2012,bCbB5bf091CcAac,Contreras Ltd,http://le-hale.com/,France,Down-sized fresh-thinking archive,2001,Staffing / Recruiting,555
2013,7faa0A4fd7eF08f,Benton-Holmes,http://www.mejia-turner.com/,Gabon,Phased 5thgeneration budgetary management,1998,Retail Industry,5252
